SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
040,08,000,00000,00000,00000,0,A,Colorado,Colorado,5029196,5029316,5048281,5121771,5193721,5270482,5351218,5452107,5540921,5615902,5695564
162,08,000,00760,00000,00000,0,A,Aguilar town,Colorado,538,538,534,517,513,485,469,468,470,476,484
162,08,000,00925,00000,00000,0,A,Akron town,Colorado,1702,1702,1705,1685,1664,1677,1671,1688,1704,1734,1723
162,08,000,01090,00000,00000,0,A,Alamosa city,Colorado,8780,8855,9314,9425,9434,9511,9562,9682,9769,9881,9997
162,08,000,01530,00000,00000,0,A,Alma town,Colorado,270,274,275,272,272,275,279,284,294,304,312
162,08,000,02355,00000,00000,0,A,Antonito town,Colorado,781,781,786,784,778,770,771,752,748,753,753
162,08,000,03235,00000,00000,0,A,Arriba town,Colorado,193,193,193,192,191,192,195,197,200,200,202
162,08,000,03455,00000,00000,0,A,Arvada city,Colorado,106433,106722,106882,108036,110192,111846,113679,115409,117726,118998,120492
162,08,000,03620,00000,00000,0,A,Aspen city,Colorado,6658,6646,6648,6638,6680,6742,6871,7178,7405,7366,7365
162,08,000,03950,00000,00000,0,A,Ault town,Colorado,1519,1532,1538,1554,1574,1597,1628,1654,1718,1786,1843
162,08,000,04000,00000,00000,0,A,Aurora city,Colorado,325078,324675,326073,332627,339080,345276,352391,359679,362941,367255,374114
162,08,000,04110,00000,00000,0,A,Avon town,Colorado,6447,6391,6374,6366,6405,6449,6497,6535,6589,6569,6482
162,08,000,04935,00000,00000,0,A,Basalt town,Colorado,3857,3851,3845,3836,3856,3880,3902,3900,3933,4179,4166
162,08,000,05265,00000,00000,0,A,Bayfield town,Colorado,2333,2324,2346,2377,2426,2477,2515,2554,2608,2679,2705
162,08,000,06090,00000,00000,0,A,Bennett town,Colorado,2308,2302,2310,2345,2380,2413,2440,2475,2489,2479,2512
162,08,000,06255,00000,00000,0,A,Berthoud town,Colorado,5105,5183,5200,5264,5351,5465,5865,6061,6335,6907,7946
162,08,000,06530,00000,00000,0,A,Bethune town,Colorado,237,237,237,240,239,236,237,238,236,234,237
162,08,000,07025,00000,00000,0,A,Black Hawk city,Colorado,118,118,118,117,117,119,123,124,126,127,127
162,08,000,07190,00000,00000,0,A,Blanca town,Colorado,385,385,384,393,390,383,382,379,387,392,397
162,08,000,07410,00000,00000,0,A,Blue River town,Colorado,849,849,851,851,862,871,883,903,921,930,927
162,08,000,07571,00000,00000,0,A,Bonanza town,Colorado,16,16,16,16,17,17,17,17,17,18,19
162,08,000,07795,00000,00000,0,A,Boone town,Colorado,339,339,339,342,343,343,344,349,353,357,362
162,08,000,07850,00000,00000,0,A,Boulder city,Colorado,97385,97640,98512,101115,102169,103640,105482,107793,108288,107895,107353
162,08,000,08070,00000,00000,0,A,Bow Mar town,Colorado,866,844,846,857,872,888,902,923,949,943,946
162,08,000,08345,00000,00000,0,A,Branson town,Colorado,74,74,74,71,72,68,66,66,67,68,69
162,08,000,08400,00000,00000,0,A,Breckenridge town,Colorado,4540,4560,4572,4569,4623,4697,4773,4912,4983,4992,5020
162,08,000,08675,00000,00000,0,A,Brighton city,Colorado,33352,33845,33993,34629,35258,36869,37529,38568,39370,40742,41254
162,08,000,09115,00000,00000,0,A,Brookside town,Colorado,233,233,235,235,242,241,242,244,249,256,260
162,08,000,09280,00000,00000,0,A,Broomfield city,Colorado,55889,55856,56221,57482,58963,60149,61769,64856,66474,68232,69267
162,08,000,09555,00000,00000,0,A,Brush city,Colorado,5463,5471,5485,5516,5470,5451,5414,5420,5365,5365,5384
162,08,000,10105,00000,00000,0,A,Buena Vista town,Colorado,2617,2566,2566,2588,2605,2667,2675,2695,2741,2797,2823
162,08,000,10600,00000,00000,0,A,Burlington city,Colorado,4254,4254,4251,4107,4028,4243,3973,4185,3620,3175,3178
162,08,000,11260,00000,00000,0,A,Calhan town,Colorado,780,780,785,797,805,808,807,811,823,829,834
162,08,000,11645,00000,00000,0,A,Campo town,Colorado,109,109,110,109,107,105,103,102,101,102,103
162,08,000,11810,00000,00000,0,A,Cañon City city,Colorado,16400,16421,16415,16448,16441,16226,16176,16235,16410,16568,16750
162,08,000,12045,00000,00000,0,A,Carbondale town,Colorado,6427,6443,6404,6395,6468,6486,6524,6615,6761,6820,6879
162,08,000,12387,00000,00000,0,A,Castle Pines city,Colorado,A,10333,10369,10450,10582,10638,10687,10630,10551,10478,10507
162,08,000,12415,00000,00000,0,A,Castle Rock town,Colorado,48231,48254,48590,49689,51017,52658,55163,57093,59195,62125,64827
162,08,000,12635,00000,00000,0,A,Cedaredge town,Colorado,2253,2253,2246,2213,2210,2216,2179,2175,2210,2225,2266
162,08,000,12815,00000,00000,0,A,Centennial city,Colorado,100377,100635,100990,102510,104266,106667,107478,109170,109793,110453,110831
162,08,000,12855,00000,00000,0,A,Center town,Colorado,2230,2240,2246,2244,2278,2231,2198,2197,2233,2281,2304
162,08,000,12910,00000,00000,0,A,Central City city,Colorado,663,660,665,658,660,671,706,716,725,733,765
162,08,000,13460,00000,00000,0,A,Cheraw town,Colorado,252,254,254,254,251,251,249,247,247,250,250
162,08,000,13845,00000,00000,0,A,Cherry Hills Village city,Colorado,5987,5987,6014,6124,6248,6381,6472,6591,6672,6654,6650
162,08,000,14175,00000,00000,0,A,Cheyenne Wells town,Colorado,846,846,846,860,866,868,852,839,842,847,853
162,08,000,14765,00000,00000,0,A,City of Creede town,Colorado,290,290,286,288,290,298,285,304,310,310,317
162,08,000,15330,00000,00000,0,A,Coal Creek town,Colorado,343,343,343,343,342,337,336,336,342,345,348
162,08,000,15550,00000,00000,0,A,Cokedale town,Colorado,129,129,128,126,125,119,116,116,116,117,121
162,08,000,15605,00000,00000,0,A,Collbran town,Colorado,708,696,694,697,696,691,688,685,691,696,698
